numero_dec,solution,article38,date_dec,jonction,id_infos_circo_tf,id_infos_circo_t1,annee_election,date_premier_tour,date_second_tour,type_election,nom_dep,circonscription,tour_final,tf_nb_exprimees,tf_nb_votant,tf_nb_inscrit,tf_ecart1,tf_r1_nuance,tf_r1_nb_voix,tf_r1_sortant,tf_r1_civilite,tf_r2_nuance,tf_r2_nb_voix,tf_r2_sortant,tf_r2_civilite,t1_nb_exprimes,t1_nb_votant,t1_nb_inscrit,t1_ecart1,t1_ecart2,t1_r1_nuance,t1_r1_nb_voix,t1_r1_sortant,t1_r1_civilite,t1_r2_nuance,t1_r2_nb_voix,t1_r2_sortant,t1_r2_civilite,t1_r3_nuance,t1_r3_nb_voix,t1_r3_sortant,t1_r3_civilite
2017-5329,Inéligibilité,,2018-5-3,unique,14168,13595,2017,2017-6-11,2017-6-18,an,francais-etablis-hors-de-france,5,2,11823,12360,91291,3833,REM,7828,FALSE,F,FI,3995,FALSE,M,14445,14564,91374,5032,60,REM,7274,FALSE,F,FI,2242,FALSE,M,LR,2182,FALSE,F
78-856/857,Rejet,,1978-5-10,jonction,5026,4591,1978,1978-3-12,1978-3-19,an,haut-rhin,3,2,66626,69642,82248,21440,RPR,44033,FALSE,,PSMRG,22593,FALSE,,68142,70020,82205,14069,1214,RPR,29033,FALSE,,PSMRG,14964,FALSE,,UDF,13750,FALSE,
78-849,Rejet,,1978-5-17,unique,5072,4647,1978,1978-3-12,1978-3-19,an,paris,23,2,24237,28764,39954,6735,RPR,15486,FALSE,,UDF,8751,FALSE,,31364,31678,39951,4235,2944,RPR,12028,FALSE,,UDF,7793,FALSE,,PSMRG,4849,FALSE,
2018-5627,Inéligibilité,,2018-5-18,unique,14166,13593,2017,2017-6-11,2017-6-18,an,francais-etablis-hors-de-france,3,2,20616,21169,120692,8290,REM,14453,FALSE,M,SOC,6163,FALSE,F,25370,25494,120696,12170,255,REM,14663,FALSE,M,SOC,2493,FALSE,F,LR,2238,FALSE,F
2017-5397,Inéligibilité,,2018-5-25,unique,13622,13045,2017,2017-6-11,2017-6-18,an,alpes-maritimes,4,2,32321,35370,85586,1773,REM,17047,FALSE,F,FN,15274,FALSE,M,39124,39895,85585,1906,1064,REM,11045,FALSE,F,FN,9139,FALSE,M,LR,8075,FALSE,M
2017-5293,Inéligibilité,,2018-6-1,unique,14001,13426,2017,2017-6-11,2017-6-18,an,paris,17,2,22401,23886,58245,319,FI,11360,FALSE,F,REM,11041,FALSE,F,26366,26878,58244,3691,1751,REM,8172,FALSE,F,FI,4481,FALSE,F,COM,2730,FALSE,M
2017-5316,Inéligibilité,,2018-6-22,unique,13774,13197,2017,2017-6-11,2017-6-18,an,indre,1,2,31672,35967,80545,12934,REM,22303,FALSE,M,FN,9369,FALSE,F,39126,40220,80546,9041,265,REM,14540,FALSE,M,FN,5499,FALSE,F,SOC,5234,FALSE,M
2018-5601,Inéligibilité,,2018-7-13,unique,13760,13183,2017,2017-6-11,2017-6-18,an,herault,4,2,40203,46308,111989,12661,REM,26432,FALSE,M,FN,13771,FALSE,M,53017,54523,112010,7292,902,REM,16694,FALSE,M,FN,9402,FALSE,M,FI,8500,FALSE,M
2018-5613,Inéligibilité,,2018-9-14,unique,13710,13133,2017,2017-6-11,2017-6-18,an,eure,1,2,33159,36514,86406,9637,REM,21398,FALSE,M,FN,11761,FALSE,F,40414,41472,86416,9040,4306,REM,17967,FALSE,M,FN,8927,FALSE,F,FI,4621,FALSE,M
93-1400,Inéligibilité,,1993-9-22,unique,7964,7964,1993,1993-3-11,1993-3-28,an,paris,16,1,35707,36764,53830,18321,RPR,22545,TRUE,,SOC,4224,FALSE,,35707,36764,53830,18321,261,RPR,22545,TRUE,,SOC,4224,FALSE,,FRN,3963,FALSE,
2017-5339,Non lieu à prononcer l'inéligibilité,,2018-6-1,unique,13944,13368,2017,2017-6-11,2017-6-18,an,haut-rhin,1,2,30362,32111,76069,9964,LR,20163,FALSE,M,REM,10199,FALSE,F,35584,36129,76086,4105,5276,LR,13444,FALSE,M,REM,9339,FALSE,F,FN,4063,FALSE,F
